point_id,v,t,lm,w,band_path,ribbon_path,status
v_0p50_t_0p50_lm_0p20,0.5,0.5,0.2,1.5,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p20/ribbon.png,ok
v_0p50_t_0p50_lm_0p30,0.5,0.5,0.3,1.5,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p30/ribbon.png,ok
v_0p50_t_0p50_lm_0p40,0.5,0.5,0.4,1.5,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p40/ribbon.png,ok
v_0p50_t_0p50_lm_0p50,0.5,0.5,0.5,1.5,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p50/ribbon.png,ok
v_0p60_t_0p50_lm_0p00,0.6,0.5,0.0,1.4,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p00/ribbon.png,ok
v_0p60_t_0p50_lm_0p10,0.6,0.5,0.1,1.4,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p10/ribbon.png,ok
v_0p60_t_0p50_lm_0p20,0.6,0.5,0.2,1.4,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p20/ribbon.png,ok
v_0p60_t_0p50_lm_0p30,0.6,0.5,0.3,1.4,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p30/ribbon.png,ok
v_0p60_t_0p50_lm_0p40,0.6,0.5,0.4,1.4,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p40/ribbon.png,ok
v_0p60_t_0p50_lm_0p50,0.6,0.5,0.5,1.4,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p50/ribbon.png,ok
